DISBMONTH,LOAN_NUMBER,CD_SEGMENT,PRODUCT_CODE,ETC_NTC,PAYMENT_TYPE,CUST_PINCODE,CUST_STATE,MANUFACTURE_CODE,TENUR,ADVANCE_EMI_COUNT,EMI,LTV,ASSET_COST,ACTUAL_LOAN_AMOUNT,DOWN_PAYMENT,PAYNIMO_STATUS,QUALIFICATION,GENDER,MARITALSTATUS,CUST_AGE,EMP_GRP,MATCH_SCORE,TOTAL_NO_LV_TRADELINES,BUREAU_VINTAGE_IN_MONTHS,NO_TRADELINES_OPENED_LAST_3M,TOTAL_NO_LV_CD,TIME_SINCE_FIRST_CD_MONTHS,NO_CD_OPENED_LAST_3M,TOTAL_NO_LV_CC,NO_CC_OPENED_LAST_3M,TOTAL_NO_LV_PLBL,TOTAL_NO_LV_AL,TOTAL_NO_LV_TW,TOTAL_NO_LV_TL,TOTAL_NO_LV_SEC,TOTAL_NO_SEC_OPENED_LAST_3M,TOTAL_NO_LV_UNSEC,TOTAL_NO_UNSEC_OPENED_LAST_3M,TOTAL_NO_ENQ,TOTAL_NO_ENQ_LAST_3M,TOTAL_NO_ENQ_CD,TOTAL_NO_ENQ_CD_LAST_3M,TOTAL_NO_ENQ_SEC,TOTAL_NO_ENQ_SEC_LAST_3M,TOTAL_NO_ENQ_UNSEC,TOTAL_NO_ENQ_UNSEC_LAST_3M,BUREAU_SCORE,TARGET_VARIABLE
31-10-2022,1,MOBILE,MOBILE,NTC,ADM,517551,AP,OPPO,7,1,2490,83,17999,14939,3885,VALID,SSC,F,Married,47,2.SEMP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
30-11-2022,2,MOBILE,MOBILE,ETC,ADM,517002,AP,SAMSUNG,6,0,4350,100,25500,26100,635,VALID,SSC,F,Married,39,2.SEMP,,1,9,1,1,9,1,0,0,0,0,0,0,0,0,1,1,4,2,3,2,0,0,4,2,697,0
31-10-2022,3,MOBILE,MOBILE,ETC,ENCH,517132,AP,OPPO,8,2,3825,74.5,29999,22949,9023,VALID,GRADUATE,F,Married,22,2.SEMP,,2,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,759,0
31-10-2022,4,MOBILE,MOBILE,ETC,ADM,517130,AP,OPPO,7,1,1942,85.05,12990,11648,3315,VALID,GRADUATE,M,Single,22,2.SEMP,,3,13,1,3,13,1,0,0,0,0,0,0,0,0,3,1,2,1,2,1,0,0,2,1,775,0
31-10-2022,5,MOBILE,MOBILE,ETC,ADM,515212,AP,OPPO,7,1,3372,85.34,22999,20227,4079,VALID,GRADUATE,M,Married,47,1.SAL,,1,123,4,1,21,0,0,0,0,0,0,0,0,4,1,0,8,2,2,0,2,0,4,0,708,0
31-10-2022,6,MOBILE,MOBILE,NTC,ADM,517128,AP,VIVO,8,2,2387,74.18,18490,14316,5527,VALID,SSC,M,Married,42,2.SEMP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0
31-10-2022,7,MOBILE,MOBILE,NTC,ADM,517419,AP,OPPO,8,2,1947,72.18,13999,11675,4601,VALID,12TH,M,Single,21,1.SAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
31-10-2022,8,Non-Mobile,AC,NTC,ADM,516289,AP,LG,15,4,2728,66.66,45000,29997,15801,VALID,GRADUATE,F,Married,35,1.SAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
31-10-2022,9,MOBILE,MOBILE,NTC,ACH,524201,AP,VIVO,7,1,1954,82.35,13499,11716,3580,INVALID,SSC,M,Married,30,2.SEMP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
31-10-2022,10,MOBILE,MOBILE,ETC,ADM,517644,AP,OPPO,8,2,1825,73.93,13999,10949,4357,VALID,GRADUATE,F,Married,43,2.SEMP,,1,38,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,773,0
